City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Jinchang,CN,2022-07-14 20:11:22,38.4953,102.1739,72.25,60,100,11.74
128,Acapulco,MX,2022-07-14 20:11:22,16.8634,-99.8901,87.62,66,40,3.44
129,Daoukro,CI,2022-07-14 20:11:23,7.0591,-3.9631,72.41,99,100,3.2
130,Khanpur,PK,2022-07-14 20:11:23,28.6453,70.6567,93.38,52,64,10.71
131,Yaan,NG,2022-07-14 20:11:23,7.3833,8.5667,73.62,91,21,4.92
132,Elista,RU,2022-07-14 20:11:24,46.3078,44.2558,70.32,60,0,13.42
133,Umiray,PH,2022-07-14 20:11:24,15.2206,121.4111,79.63,84,53,3.4
134,Beli Potok,RS,2022-07-14 20:11:24,44.7061,20.5197,80.78,47,34,5.7
135,Kavieng,PG,2022-07-14 20:11:25,-2.5744,150.7967,81.25,79,100,16.62
136,Geraldton,AU,2022-07-14 20:11:25,-28.7667,114.6,55.81,76,27,5.75
137,Wanaka,NZ,2022-07-14 20:12:26,-44.7,169.15,32.11,89,37,1.99
138,Iracoubo,GF,2022-07-14 20:12:26,5.4802,-53.2011,79.11,88,70,8.21
139,Pisco,PE,2022-07-14 20:12:09,-13.7,-76.2167,66.25,68,0,14.97
140,Minggang,CN,2022-07-14 20:12:27,32.4586,114.0486,82.26,85,100,3.91
141,Olafsvik,IS,2022-07-14 20:10:45,64.8945,-23.7142,50.7,73,76,1.86
142,Lagoa,PT,2022-07-14 20:12:27,39.05,-27.9833,69.84,90,35,15.12
143,Hobart,AU,2022-07-14 20:12:27,-42.8794,147.3294,44.06,97,100,3.44
144,Saint-Pierre,RE,2022-07-14 20:12:28,-21.3393,55.4781,67.91,80,0,5.75
145,Orlik,RU,2022-07-14 20:12:28,52.5178,99.825,48.13,95,100,2.42
146,Beloha,MG,2022-07-14 20:12:28,-25.1667,45.05,62.92,79,0,3.38
