City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
75,East London,-33.0153,27.9116,67.39,87,100,13.65,ZA,overcast clouds
76,Nikolskoye,59.7035,30.7861,39.09,93,100,8.81,RU,overcast clouds
77,Tasiilaq,65.6145,-37.6368,30.07,97,100,5.3,GL,light snow
78,Aksu,41.1231,80.2644,41.99,42,66,1.23,CN,broken clouds
79,Marawi,7.9986,124.2928,79.3,71,28,1.52,PH,scattered clouds
80,Punta Arenas,-53.15,-70.9167,55.51,67,0,17.27,CL,clear sky
81,Atuona,-9.8,-139.0333,77.16,68,100,14.18,PF,overcast clouds
82,Balingasay,16.3573,119.8564,82.38,75,100,11.65,PH,overcast clouds
83,Ventspils,57.3894,21.5606,53.53,94,75,16.11,LV,broken clouds
84,Gilbues,-9.8317,-45.3439,75.25,70,100,2.3,BR,overcast clouds
85,Taoudenni,22.6783,-3.9836,73.98,18,96,10.49,ML,overcast clouds
86,Saint-Philippe,-21.3585,55.7679,71.19,76,37,6.8,RE,scattered clouds
87,Poum,-20.2333,164.0167,78.04,80,100,13.67,NC,light rain
88,Yarmouth,41.7057,-70.2286,68.47,56,0,21.0,US,clear sky
89,Vokhma,58.9303,46.7586,31.8,96,100,9.64,RU,overcast clouds
90,Torbay,47.6666,-52.7314,60.76,96,100,25.32,CA,light intensity drizzle
91,Souillac,-20.5167,57.5167,71.98,88,20,4.61,MU,few clouds
92,Khor,47.8861,134.9464,33.91,59,100,11.52,RU,overcast clouds
93,Saldanha,-33.0117,17.9442,59.95,87,29,6.69,ZA,scattered clouds
94,Richards Bay,-28.783,32.0377,70.21,94,90,7.27,ZA,light rain
95,Mokobeng,-22.9965,27.6678,67.01,92,100,11.01,BW,moderate rain
96,Avera,33.194,-82.5271,69.85,69,8,5.95,US,clear sky
97,Scottsbluff,41.8666,-103.6672,47.79,59,0,20.71,US,clear sky
98,Grajau,-5.8194,-46.1386,74.62,92,94,2.82,BR,moderate rain
99,Georgetown,5.4112,100.3354,80.53,92,20,5.01,MY,few clouds
100,Port Alfred,-33.5906,26.891,64.18,90,100,5.01,ZA,overcast clouds
101,Buala,-8.145,159.5921,83.77,78,64,8.52,SB,moderate rain
102,Goma,-1.6792,29.2228,61.43,89,100,3.47,CD,overcast clouds
103,Taksimo,56.3444,114.8794,19.67,94,100,3.67,RU,snow
104,Sabang,5.8933,95.3214,81.48,74,100,13.02,ID,overcast clouds
105,Taltal,-25.4,-70.4833,61.16,79,20,4.85,CL,few clouds
106,Tuktoyaktuk,69.4541,-133.0374,1.4,78,20,9.22,CA,few clouds
107,Ribeira Grande,38.5167,-28.7,62.78,76,100,7.0,PT,overcast clouds
108,Yar-Sale,66.8333,70.8333,21.06,96,100,5.66,RU,overcast clouds
109,Bondo,3.8146,23.6866,67.3,99,100,1.3,CD,overcast clouds
110,Rio Gallegos,-51.6226,-69.2181,68.05,40,75,11.5,AR,broken clouds
111,Ravar,31.2656,56.8055,53.64,43,0,4.27,IR,clear sky
112,Arraial Do Cabo,-22.9661,-42.0278,67.96,88,75,3.44,BR,moderate rain
113,Vila Franca Do Campo,37.7167,-25.4333,61.21,84,100,7.96,PT,light rain
114,Praia Da Vitoria,38.7333,-27.0667,60.76,94,75,13.24,PT,broken clouds
115,Hamilton,39.1834,-84.5333,58.75,35,0,8.05,US,clear sky
116,Severnyy,50.677,36.5532,35.64,87,0,4.47,RU,clear sky
117,Brnakot,39.497,45.9731,30.09,89,75,4.05,AM,broken clouds
118,Rawson,-43.3002,-65.1023,61.09,69,100,7.78,AR,light rain
119,Thompson,55.7435,-97.8558,-5.64,84,20,0.0,CA,few clouds
120,Gizo,-8.103,156.8419,84.04,72,88,9.22,SB,light rain
121,Jalu,29.0331,21.5482,62.73,77,0,9.89,LY,clear sky
122,Flin Flon,54.7682,-101.865,8.44,72,100,5.75,CA,light snow
123,Klaksvik,62.2266,-6.589,49.12,90,100,35.86,FO,overcast clouds
124,Farmington,36.7281,-108.2187,63.28,29,0,8.05,US,clear sky
125,Port Hardy,50.6996,-127.4199,35.78,51,20,20.71,CA,few clouds
126,Upernavik,72.7868,-56.1549,8.31,88,94,7.11,GL,overcast clouds
127,Bilibino,68.0546,166.4372,-3.55,96,66,4.03,RU,broken clouds
128,Vangaindrano,-23.35,47.6,70.21,93,100,6.26,MG,overcast clouds
129,Belize,17.25,-88.75,79.12,92,19,2.66,BZ,few clouds
130,Fairbanks,64.8378,-147.7164,19.81,71,100,0.0,US,overcast clouds
131,Evensk,61.95,159.2333,23.29,70,100,7.31,RU,overcast clouds
132,Yellowknife,62.456,-114.3525,7.32,78,75,8.05,CA,light snow
133,Zhanaozen,43.3,52.8,32.85,75,1,5.41,KZ,clear sky
134,Antofagasta,-23.65,-70.4,60.03,81,30,4.92,CL,scattered clouds
135,Slyudyanka,51.6594,103.7061,29.97,89,100,2.06,RU,light snow
136,Botou,38.0667,116.5667,51.08,37,0,3.98,CN,clear sky
137,Kodiak,57.79,-152.4072,38.71,87,100,16.11,US,moderate rain
138,Tuatapere,-46.1333,167.6833,64.83,52,91,4.97,NZ,overcast clouds
139,Darab,28.7519,54.5444,60.67,64,100,1.25,IR,overcast clouds
140,Vila Velha,-20.3297,-40.2925,73.94,79,75,4.61,BR,broken clouds
141,Acajutla,13.5928,-89.8275,79.68,79,30,1.74,SV,scattered clouds
142,Ponta Do Sol,32.6667,-17.1,68.72,86,94,3.76,PT,overcast clouds
143,Yaan,7.3833,8.5667,74.32,45,99,2.15,NG,overcast clouds
144,Khatanga,71.9667,102.5,6.37,96,100,4.85,RU,light snow
