City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
563,Muros,ES,61.84,42.7762,-9.0603,
564,Komsomolskiy,UZ,48.92,40.4272,71.7189,
565,Yuxia,CN,65.71,34.0615,108.6291,
566,Havoysund,NO,37.63,70.9963,24.6622,
567,Sakakah,SA,60.37,29.9697,40.2064,
568,Meaux,FR,54.09,48.9167,3.0,
569,Alamos,MX,66.9,27.0167,-108.9333,
570,Sadove,UA,46.9,46.2487,30.1795,
571,Edea,CM,73.63,3.8,10.1333,
573,Colares,PT,61.79,38.7992,-9.4469,
574,Kanturk,IE,54.34,52.1667,-8.9,
577,Akureyri,IS,37.33,65.6835,-18.0878,
579,North Platte,US,45.12,41.1239,-100.7654,
580,Habra,IN,75.09,22.8344,88.6275,
581,Eyrarbakki,IS,38.21,63.863,-21.1481,
582,Mantsala,FI,47.88,60.6609,25.2838,
584,Guilin,CN,71.71,25.2819,110.2864,
585,Kanke,IN,64.42,23.4333,85.3167,
586,Cooma,AU,65.64,-36.2333,149.1333,
587,Nalut,LY,53.53,30.3333,10.85,
589,Rotava,CZ,44.35,50.2963,12.5734,
592,Kembe,CF,68.72,4.6228,21.8865,
595,Cururupu,BR,74.28,-1.8283,-44.8683,
596,Harer,ET,53.65,9.3094,42.1258,
597,Nouakchott,MR,66.13,18.0858,-15.9785,
598,Mana,GF,77.59,5.6592,-53.7767,
599,Joao Pinheiro,BR,68.34,-17.7425,-46.1725,
600,Copalillo,MX,72.91,18.0333,-99.1167,
601,Katsuura,JP,59.02,35.1333,140.3,
602,Mitsamiouli,KM,77.0,-11.3847,43.2844,
604,Hendrina,ZA,57.06,-26.1588,29.7153,
605,Falesti,MD,50.16,47.5736,27.7092,
606,Webuye,KE,62.31,0.6075,34.7697,
607,San Carlos De Bariloche,AR,53.02,-41.1456,-71.3082,
608,Saint Simons,US,73.44,31.1352,-81.3901,
610,Fano,IT,51.04,43.8204,13.0121,
611,North Bend,US,44.92,43.4065,-124.2243,
613,Ojinaga,MX,63.55,29.5667,-104.4167,
614,Ixtapa,MX,78.03,20.7,-105.2,
615,Grand-Lahou,CI,76.95,5.1367,-5.0242,
616,Masingbi,SL,72.45,8.7833,-11.95,
620,Wloclawek,PL,38.52,52.6482,19.0678,
621,Rockhampton,AU,78.69,-23.3833,150.5,
622,Port-Gentil,GA,76.6,-0.7193,8.7815,
623,West Wendover,US,43.81,40.7391,-114.0733,
624,Khani,GE,44.17,41.9563,42.9566,
625,Boffa,GN,74.5,10.1667,-14.0333,
627,Mount Pleasant,US,72.0,32.7941,-79.8626,
630,Sao Gabriel Da Cachoeira,BR,77.4,-0.1303,-67.0892,
631,Gidam,IN,67.44,18.9833,81.4,
632,North Vanlaiphai,IN,62.26,23.1333,93.0667,
633,Bajil,YE,79.18,15.0584,43.2851,
634,Lakota,CI,70.3,5.8528,-5.6883,
635,Xuanzhou,CN,67.44,30.9525,118.7553,
636,Celestun,MX,78.24,20.8667,-90.4,
637,Jamnagar,IN,79.0,22.4667,70.0667,
638,Guangyuan,CN,59.92,32.442,105.823,
639,Morondava,MG,79.45,-20.2833,44.2833,
640,Makat,KZ,36.57,47.6469,53.3463,
641,Correntina,BR,72.82,-13.3433,-44.6367,
642,Jian,CN,68.56,27.1172,114.9793,
646,Teresopolis,BR,55.13,-22.4122,-42.9656,
647,Todos Santos,MX,72.66,23.45,-110.2167,
648,Quelimane,MZ,75.15,-17.8786,36.8883,
649,Miraflores,MX,68.04,19.2167,-98.8083,
653,Huangmei,CN,68.04,30.1924,116.025,
654,Siderno,IT,62.24,38.2779,16.302,
656,Gamba,GA,73.74,-2.65,10.0,
658,Andenes,NO,39.18,69.3143,16.1194,
661,Petropavlovsk-Kamchatskiy,RU,37.99,53.0452,158.6483,
